review,preprocessed_text,sentiment_label
Review: BEST LAPTOP IN A PRICE SEGMENT OF Rs 55-60K.,review BEST laptop price segment r,positive
Review: second hand product. don't buy this. It is used. battery power is low. stand by power is only 4 hour.,review second hand product buy battery power low stand power hour,neutral
Review: very bad. My product is not working what do I do ? I have paid everything! This is very very bad .,review bad product work pay bad,negative
Review: waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode.Not at all recommend.,review waste money battery drain quickly hour usage last day sleep mode recommend,neutral
Review: Very bad product. The Serial number on the product and the serial number on the laptop are different.,review bad product serial number product serial number laptop different,negative
Review: One star. Trackpad not working... tried 2 contact amazon.. not picking,review star Trackpad work try contact amazon pick,neutral
Review: two star.Returned looking for Mac pro.,review star return look Mac pro,neutral
Review: Three star. very low memory. Not good buy.,review star low memory good buy,positive
Review: Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product.,review bad product battery issue laptop backup expect upset product,negative
Review: not a good product. charger not working after week use,review good product charger work week use,positive
Review: better laptop is available in this price segment.,review well laptop available price segment,positive
Review:  have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating,review extremely bad experience Apple product suffer chronic problem known overheat,negative
Review: Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy..,review bad display font blurry good help amazon care say return policy,neutral
Review: It’s been just 2 months and the device has already stopped functioning. It doesn’t turn on. I need a replacement. ’m very angry and disappointed.,review month device stop function turn need replacement m angry disappointed,negative
Review: Very bad product. The mac book delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return.,review bad product mac book deliver work expect reputed brand immediate replacement return,negative
Review: Fake Product. received A Laptop Without Serial number of screen. unable To Claim Warranty.,review Fake Product receive laptop serial number screen unable Claim Warranty,negative
Review: Pathetic product. Below standard quality.,review pathetic product standard quality,negative
Review: Price mismatch. never buying such things on amazon ever again,review price mismatch buy thing amazon,neutral
Review: very poor. disappointed. Defective product.,review poor disappoint defective product,negative
Review: Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI,review super careful cost emi offer step show pay Kotak refuse convert purchase emi,neutral
Review: Not good product -: After 6 months it became turn off. It is not starting now.,review good product month turn start,positive
Review: Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name of great indian sale,review worthy model bcs month sale cut price k discount make fool great indian sale,positive
Review: Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.,review Amazon late delivery usual pathetic experience Amazon courier team time,negative
Review: Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.,review overpriced people know slot laptop apple product cost u lot cuz compatibility,neutral
Review: Worst laptop ever not for student use I repeat not for students.,review bad laptop student use repeat student,negative
Review: Price is very high not worthy,review price high worthy,neutral
Review: bad product. Compatible issue for Microsoft office files. not better than window platform.,review bad product compatible issue Microsoft office file well window platform,negative
Review: Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.,review Bad Service month start problem change main power costly,neutral
Review: Bad. Received a broken/opened package. most likely a returned package.,review Bad receive break open package likely return package,neutral
Review: pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.,review pathetic wheel work wheel hard press open link new window use wheel scroll usage wheel alternate Open New Window difficult,neutral
Review: small in size. so grip in your palm will not be very comfortable.otherwise good product.,review small size grip palm good product,neutral
Review: Not able to hold it properly in hand and wire is also too short. I recommend to buy other larger size mouse with slightly more cost,review able hold properly hand wire short recommend buy large size mouse slightly cost,neutral
Review: very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.,review bad mouse small palm difficult click especially double click click button responsive,negative
Review: Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact HP service. Very painful process,review defective product able print single page carriage strike side printer loudly contact HP service painful process,neutral
Review: Very expensive. Cartridge is very expensive....not recommended to buy this product .,review expensive Cartridge expensive recommend buy product,negative
Review: Average product. too bad for pc users.,review average product bad pc user,negative
Review: Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.,review utterly useless printer TOTALLY unexpected HP page get stick repeatedly cartridge issue abnormal noise worth discount,neutral
Review: starsExcellent Product and Service by Amazon and Seller.,review starsExcellent Product Service Amazon Seller,neutral
Review: starsGood product but not able to login to Facetime.,review starsgood product able login Facetime,positive
Review: Very good product. Perfectly packed & delivered on time. Working good till now.,review good product perfectly pack deliver time work good till,positive
Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.,review Best MacBook Apple thank Amazon fast delivery competetive Price,positive
Review: There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.,review comparison apple product performance expectation customer service awesome love,positive
Review: Works great sound is clear and is really loud. Would recommend,review work great sound clear loud recommend,positive
Review: This is a awesome product. My husband and I love it.,review awesome product husband love,positive
Review: Love the sound that comes out and Alexa is very informative!,review love sound come Alexa informative,positive
Review: great device to listen to music.best blue tooth on the market today.I highly recommend it,review great device listen blue tooth market today highly recommend,positive
Review: Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.,review excellent product price performance n battery life superb day good buy day compact good perform laptop price,positive
Review: As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw),review know Apple product outstanding superior rest superb fast amazing recommend buy AirCase MacBook sleeve black green MOCA smooth touch battle hard shell skin cover grey colour product good buy product help improve MacBook Air experience advertise sell product btw,positive
Review: The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.,review product review capability want MacBook look multiple outlet price amazon good pricing product offer order product prime deficit stock delay delivery couple day product expect delivery smooth expect retailer Appario retail knowledge amazon subsidiary,positive
Review: Nice Product! Have been using it since for last 3 months now. No issues faced.,review Nice product month issue face,positive
Review: Its really amazing. Exactly the same experience which I heard and described.Macbook air is really best and affordable to all in broad range of costly apple products...!!,review amazing exactly experience hear describe Macbook air good affordable broad range costly apple product,positive
Review: TSimply amazing! The best ever battery backup! High performance. And not to forget amazon packing and safety for your product is incredible. Love the way they care for your product by the time it reach safe in your hands.,review tsimply amazing good battery backup high performance forget amazon pack safety product incredible love way care product time reach safe hand,positive
Review: Got it safe.....when i ordered i was tensed as ....i thgt it might have cracks....but amazing product....thanku apple...thanku .....amazon....thnku for the best courier service,review got safe order tense thgt crack amazing product thanku apple thanku amazon thnku good courier service,positive
Review: Don't want to mention anything for apple MAC book :) Super product,review want mention apple MAC book Super product,positive
Review: Always apple is the best product.build quality and software works together.u can’t use this one for media purposes.its one time investment for office use.,review apple good quality software work use medium time investment office use,positive
Review: its a amazing product for a normal user....amazon had a good packing also,review amazing product normal user amazon good packing,positive
Review: excellent product with good exchange price... I like product and service,review excellent product good exchange price like product service,positive
Review: What a fine piece of design and engineering! If you can get this. DO GET IT.,Review fine piece design engineering,positive
Review: warranty details are fine upgraded to high Sierra performing well.. not using it heavily but yes Best Buy for the price. Will update again after usage,review warranty detail fine upgrade high Sierra perform heavily yes Best Buy price update usage,positive
Review: All works fine. No issues or defects till now. Its nearly more than a month from purchase. Nice packaging. Perfectly planned delivery.,review work fine issue defect till nearly month purchase nice packaging perfectly plan delivery,positive
Review: Loving it so far...1 star less because the capslock key is a little defective...doesn't press at once.,review love far star capslock key little defective press,neutral
Review: was looking for a light laptop for multimedia use. perfect travel companion. as I was already using iOS ecosystem. was nt tough to shift from windows to apple.,Review look light laptop multimedia use perfect travel companion ios ecosystem not tough shift window apple,positive
Review: Best rate got from market value for money great quality,review best rate get market value money great quality,positive
Review: Not much to be said. apple is always great in quality and the look and feel!!,review say apple great quality look feel,positive
Review: 10/10......the best laptop in world. apple products are amazing. you will never regret it buying.,Review good laptop world apple product amazing regret buying,positive
Review: Fast Processor & user friendly Amazing Battery life !,review Fast Processor user friendly Amazing Battery life,positive
Review: Very good and light weight laptop. This is a perfect choice for bloggers. Excellent battery life.,review good light weight laptop perfect choice blogger excellent battery life,positive
Review: MacBook..nothing to say. I have been using it since last 4 months.,review MacBook month,neutral
Review: Great product. timeless design but flawless. Apple has been best at making things which do what they are suppose to without much fuss and pomp,review great product timeless design flawless Apple good make thing suppose fuss pomp,positive
Review: Best decision I have ever made. Good purchase.,review best decision good purchase,positive
Review: Am happy that I switch from Windows to Mac,review happy switch Windows Mac,positive
Review: First time using Apple product. Amazing experience. Loved it,review time Apple product amazing experience love,positive
Review: Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount.,review fantastic machine smooth touchpad fine keyboard awesome performance switch window thank Amazon give discount,positive
Review: Great product as usual from apple. I ordered it for my wife. and she is loving it :-),review great product usual apple order wife love,positive
Review: Very good product. Perfectly packed & delivered on time. Working good till now.,review good product perfectly pack deliver time work good till,positive
Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.,review Best MacBook Apple thank Amazon fast delivery competetive Price,positive
Review: The Mac was good but the mouse pad are not wrking properly,review Mac good mouse pad wrke properly,positive
Review: Good product. But we are not getting on line support for any operation issue in macbook.,review good product get line support operation issue macbook,positive
Review: Finally a MacBook possession. Worth every penny. A must have for all those who can afford. Got it in 50k in Diwali sale,review finally MacBook possession worth penny afford got diwali sale,neutral
Review: Really good is and it is very smooth everything works great but stuff like display and design must be updated.,review good smooth work great stuff like display design update,positive
Review: Amazing product by Apple and great delivery by Amazon. Kudos to both,review amazing product Apple great delivery Amazon kudo,positive
Review: Excellent product and good delivery turnaround time by Amazon,review excellent product good delivery turnaround time Amazon,positive
